x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE,team
22.0 ft,28.8 ft,1.0,10:49.0,Kevin Durant,MAKE,3.0,26 ft,
28.7 ft,4.58 ft,1.0,10:23.0,Kevin Durant,MAKE,2.0,5 ft,
34.8 ft,13.1 ft,1.0,8:46.0,Kevin Durant,MAKE,2.0,15 ft,
22.8 ft,14.1 ft,1.0,8:18.0,Kevin Durant,MISS,2.0,11 ft,
24.4 ft,5.17 ft,1.0,7:47.0,Kevin Durant,MISS,2.0,2 ft,
24.7 ft,4.08 ft,1.0,7:20.0,Kevin Durant,MAKE,2.0,1 ft,
20.2 ft,3.38 ft,1.0,3:14.0,Kevin Durant,MISS,2.0,4 ft,
15.4 ft,7.66 ft,2.0,6:05.0,Kevin Durant,MISS,2.0,10 ft,
10.1 ft,13.0 ft,2.0,6:03.0,Kevin Durant,MISS,2.0,17 ft,
34.8 ft,6.67 ft,2.0,2:53.0,Kevin Durant,MAKE,2.0,11 ft,
20.2 ft,7.66 ft,2.0,0:29.0,Kevin Durant,MISS,2.0,6 ft,
24.3 ft,3.38 ft,3.0,8:30.0,Kevin Durant,MAKE,2.0,0 ft,
0.5 ft,3.68 ft,3.0,6:45.0,Kevin Durant,MISS,3.0,24 ft,
9.3 ft,13.5 ft,3.0,5:51.0,Kevin Durant,MISS,2.0,18 ft,
23.9 ft,21.7 ft,3.0,4:38.0,Kevin Durant,MAKE,2.0,19 ft,
19.3 ft,4.77 ft,3.0,3:46.0,Kevin Durant,MISS,2.0,5 ft,
26.5 ft,5.97 ft,1.0,10:50.0,Kevin Durant,MISS,2.0,4 ft,
7.00 ft,5.37 ft,1.0,10:35.0,Kevin Durant,MISS,2.0,17 ft,
38.8 ft,13.5 ft,1.0,8:54.0,Kevin Durant,MAKE,2.0,18 ft,
10.8 ft,24.6 ft,1.0,4:13.0,Kevin Durant,MAKE,3.0,25 ft,
29.0 ft,14.9 ft,1.0,0:03.0,Kevin Durant,MISS,2.0,13 ft,
41.8 ft,23.0 ft,2.0,2:47.0,Kevin Durant,MISS,3.0,27 ft,
10.8 ft,10.6 ft,3.0,10:54.0,Kevin Durant,MAKE,2.0,15 ft,
12.7 ft,8.36 ft,3.0,10:06.0,Kevin Durant,MAKE,2.0,12 ft,
25.6 ft,5.77 ft,3.0,9:30.0,Kevin Durant,MAKE,2.0,3 ft,
25.1 ft,28.7 ft,3.0,8:50.0,Kevin Durant,MAKE,3.0,26 ft,
17.7 ft,30.1 ft,3.0,6:35.0,Kevin Durant,MAKE,3.0,28 ft,
24.2 ft,16.8 ft,3.0,5:39.0,Kevin Durant,MISS,2.0,14 ft,
24.2 ft,5.67 ft,3.0,3:04.0,Kevin Durant,MAKE,2.0,2 ft,
35.8 ft,13.8 ft,4.0,7:00.0,Kevin Durant,MISS,2.0,16 ft,
23.5 ft,6.17 ft,4.0,5:31.0,Kevin Durant,MAKE,2.0,3 ft,
19.7 ft,7.46 ft,4.0,4:06.0,Kevin Durant,MISS,2.0,6 ft,
46.5 ft,11.2 ft,1.0,10:20.0,Kevin Durant,MISS,3.0,24 ft,
1.0 ft,3.88 ft,1.0,8:28.0,Kevin Durant,MAKE,3.0,23 ft,
18.2 ft,4.28 ft,1.0,3:52.0,Kevin Durant,MAKE,2.0,6 ft,
19.0 ft,28.1 ft,2.0,6:25.0,Kevin Durant,MAKE,3.0,26 ft,
30.2 ft,15.4 ft,2.0,5:30.0,Kevin Durant,MAKE,2.0,14 ft,
32.8 ft,20.2 ft,2.0,4:28.0,Kevin Durant,MAKE,2.0,19 ft,
37.8 ft,4.58 ft,2.0,3:56.0,Kevin Durant,MAKE,2.0,14 ft,
10.6 ft,5.77 ft,2.0,2:47.0,Kevin Durant,MISS,2.0,14 ft,
32.1 ft,26.8 ft,3.0,8:07.0,Kevin Durant,MAKE,3.0,25 ft,
36.8 ft,6.97 ft,3.0,7:34.0,Kevin Durant,MISS,2.0,13 ft,
32.2 ft,14.8 ft,3.0,7:07.0,Kevin Durant,MISS,2.0,14 ft,
47.0 ft,3.38 ft,3.0,5:04.0,Kevin Durant,MAKE,3.0,23 ft,
31.3 ft,27.6 ft,3.0,2:02.0,Kevin Durant,MISS,3.0,26 ft,
32.2 ft,27.5 ft,4.0,7:43.0,Kevin Durant,MAKE,3.0,26 ft,
33.7 ft,4.87 ft,4.0,0:07.0,Kevin Durant,MISS,2.0,10 ft,
11.1 ft,21.0 ft,1.0,11:21.0,Kevin Durant,MISS,2.0,22 ft,
23.3 ft,13.3 ft,1.0,10:48.0,Kevin Durant,MISS,2.0,10 ft,
29.2 ft,2.38 ft,1.0,10:15.0,Kevin Durant,MISS,2.0,5 ft,
21.8 ft,19.1 ft,1.0,8:50.0,Kevin Durant,MAKE,2.0,16 ft,
19.4 ft,9.45 ft,1.0,8:14.0,Kevin Durant,MISS,2.0,8 ft,
26.3 ft,3.58 ft,1.0,6:58.0,Kevin Durant,MAKE,2.0,2 ft,
23.7 ft,29.1 ft,1.0,5:00.0,Kevin Durant,MISS,3.0,26 ft,
14.0 ft,26.8 ft,1.0,2:01.0,Kevin Durant,MISS,3.0,26 ft,
23.9 ft,3.58 ft,1.0,1:32.0,Kevin Durant,MAKE,2.0,0 ft,
17.1 ft,18.8 ft,1.0,0:37.0,Kevin Durant,MAKE,2.0,17 ft,
19.6 ft,12.3 ft,2.0,5:12.0,Kevin Durant,MAKE,2.0,10 ft,
25.4 ft,19.5 ft,2.0,2:35.0,Kevin Durant,MISS,2.0,16 ft,
21.5 ft,14.6 ft,2.0,2:31.0,Kevin Durant,MAKE,2.0,12 ft,
25.3 ft,4.87 ft,2.0,1:37.0,Kevin Durant,MISS,2.0,2 ft,
32.4 ft,12.0 ft,2.0,0:57.0,Kevin Durant,MISS,2.0,12 ft,
38.2 ft,8.26 ft,3.0,11:32.0,Kevin Durant,MAKE,2.0,15 ft,
22.9 ft,28.1 ft,3.0,1:31.0,Kevin Durant,MISS,3.0,25 ft,
